name,colorIdentity,keywords,supertypes
Dusk Imp,B,Flying,
Dusk Imp,B,Flying,
Essence Drain,B,,
Fear,B,Enchant,
Fear,B,Enchant,
Festering Goblin,B,,
Grave Pact,B,,
Graveborn Muse,B,,
Gravedigger,B,,
Hate Weaver,B,,
Head Games,B,,
Hidden Horror,B,,
Highway Robber,B,,
Hypnotic Specter,B,Flying,
Hypnotic Specter,B,Flying,
Knight of Dusk,B,,
Looming Shade,B,,
Lord of the Pit,B,"Flying, Trample",
Lord of the Pit,B,"Flying, Trample",
Lord of the Undead,B,,
Mass of Ghouls,B,,
Megrim,B,,
Midnight Ritual,B,,
Mind Rot,B,,
Mortal Combat,B,,
Mortivore,B,,
Mortivore,B,,
Nantuko Husk,B,,
Nekrataal,B,First strike,
Nekrataal,B,First strike,
Nightmare,B,Flying,
Nightmare,B,Flying,
No Rest for the Wicked,B,,
Phage the Untouchable,B,,Legendary
Phyrexian Rager,B,,
Plague Beetle,B,Swampwalk,
Plague Beetle,B,Swampwalk,
Plague Wind,B,,
Rain of Tears,B,,
Ravenous Rats,B,,
Recover,B,,
Relentless Rats,B,,
Royal Assassin,B,,
Scathe Zombies,B,,
Sengir Vampire,B,Flying,
Sengir Vampire,B,Flying,
Severed Legion,B,Fear,
Severed Legion,B,Fear,
Sleeper Agent,B,,
Soul Feast,B,,
Spineless Thug,B,,
Stronghold Discipline,B,,
Terror,B,,
Thrull Surgeon,B,,
Underworld Dreams,B,,
Unholy Strength,B,Enchant,
Unholy Strength,B,Enchant,
Vampire Bats,B,Flying,
Vampire Bats,B,Flying,
Anaba Bodyguard,R,First strike,
Anaba Bodyguard,R,First strike,
Arcane Teachings,R,Enchant,
Arcane Teachings,R,Enchant,
Beacon of Destruction,R,,
Blaze,R,,
Bloodfire Colossus,R,,
Bloodrock Cyclops,R,,
Bogardan Firefiend,R,,
Cone of Flame,R,,
Cryoclasm,R,,
Demolish,R,,
Dragon Roost,R,,
Dragon Roost,R,,
Duct Crawler,R,,
Earth Elemental,R,,
Firebreathing,R,Enchant,
Firebreathing,R,Enchant,
Fists of the Anvil,R,,
Flamewave Invoker,R,,
Flowstone Slide,R,,
Furnace of Rath,R,,
Furnace Whelp,R,Flying,
Furnace Whelp,R,Flying,
Goblin Elite Infantry,R,,
Goblin King,R,,
Goblin King,R,,
Goblin Lore,R,,
Goblin Piker,R,,
Goblin Sky Raider,R,Flying,
Goblin Sky Raider,R,Flying,
Guerrilla Tactics,R,,
Hill Giant,R,,
Incinerate,R,,
"Kamahl, Pit Fighter",R,Haste,Legendary
"Kamahl, Pit Fighter",R,Haste,Legendary
Lava Axe,R,,
Lavaborn Muse,R,,
Lightning Elemental,R,Haste,
Lightning Elemental,R,Haste,
Manabarbs,R,,
Mogg Fanatic,R,,
Orcish Artillery,R,,
Prodigal Pyromancer,R,,
Pyroclasm,R,,
Rage Weaver,R,,
Rage Weaver,R,,
Raging Goblin,R,Haste,
Raging Goblin,R,Haste,
Relentless Assault,R,,
Rock Badger,R,Mountainwalk,
Rock Badger,R,Mountainwalk,
Scoria Wurm,R,,
Seismic Assault,R,,
Shatterstorm,R,,
Shivan Dragon,R,Flying,
Shivan Dragon,R,Flying,
Shivan Hellkite,R,Flying,
Shivan Hellkite,R,Flying,
Shock,R,,
Shunt,R,,
Siege-Gang Commander,R,,
Smash,R,,
Soulblast,R,,
Spark Elemental,R,"Haste, Trample",
Spark Elemental,R,"Haste, Trample",
Spitting Earth,R,,
"Squee, Goblin Nabob",R,,Legendary
Stun,R,,
Sudden Impact,R,,
Threaten,R,,
Threaten,R,,
Thundering Giant,R,Haste,
Thundering Giant,R,Haste,
Uncontrollable Anger,R,"Enchant, Flash",
Uncontrollable Anger,R,"Enchant, Flash",
Viashino Runner,R,Menace,
Viashino Sandscout,R,Haste,
Viashino Sandscout,R,Haste,
Wall of Fire,R,Defender,
Wall of Fire,R,Defender,
Warp World,R,,
Abundance,G,,
Aggressive Urge,G,,
Avatar of Might,G,Trample,
Avatar of Might,G,Trample,
Birds of Paradise,G,Flying,
Birds of Paradise,G,Flying,
Blanchwood Armor,G,Enchant,
Blanchwood Armor,G,Enchant,
Canopy Spider,G,Reach,
Canopy Spider,G,Reach,
Civic Wayfinder,G,,
Commune with Nature,G,,
Craw Wurm,G,,
Creeping Mold,G,,
Elven Riders,G,,
Elvish Berserker,G,,
Elvish Champion,G,,
Elvish Champion,G,,
Elvish Piper,G,,
Enormous Baloth,G,,
Femeref Archers,G,,
Gaea's Herald,G,,
Giant Growth,G,,
Giant Spider,G,Reach,
Giant Spider,G,Reach,
Grizzly Bears,G,,
Hunted Wumpus,G,,
Hurricane,G,,
Joiner Adept,G,,
Karplusan Strider,G,,
Kavu Climber,G,,
Llanowar Elves,G,,
Llanowar Sentinel,G,,
Lure,G,Enchant,
Lure,G,Enchant,
Might of Oaks,G,,
Might Weaver,G,,
Might Weaver,G,,
"Mirri, Cat Warrior",G,"First strike, Forestwalk, Vigilance",Legendary
"Mirri, Cat Warrior",G,"First strike, Forestwalk, Vigilance",Legendary
"Molimo, Maro-Sorcerer",G,Trample,Legendary
"Molimo, Maro-Sorcerer",G,Trample,Legendary
Natural Spring,G,,
Naturalize,G,,
Overgrowth,G,Enchant,
Overgrowth,G,Enchant,
Overrun,G,,
Overrun,G,,
Pincher Beetles,G,Shroud,
Pincher Beetles,G,Shroud,
Primal Rage,G,,
Primal Rage,G,,
Quirion Dryad,G,,
Rampant Growth,G,,
Recollect,G,,
Regeneration,G,Enchant,
Regeneration,G,Enchant,
Rhox,G,,
Rhox,G,,
Root Maze,G,,
Rootwalla,G,,
Rushwood Dryad,G,Forestwalk,
Rushwood Dryad,G,Forestwalk,
Scion of the Wild,G,,
Seedborn Muse,G,,
Skyshroud Ranger,G,,
Spined Wurm,G,,
Stalking Tiger,G,,
Stampeding Wildebeests,G,Trample,
Stampeding Wildebeests,G,Trample,
Sylvan Basilisk,G,,
Sylvan Scrying,G,,
Tangle Spider,G,"Flash, Reach",
Tangle Spider,G,"Flash, Reach",
Treetop Bracers,G,Enchant,
Treetop Bracers,G,Enchant,
Troll Ascetic,G,Hexproof,
Troll Ascetic,G,Hexproof,
Upwelling,G,,
Upwelling,G,,
Verdant Force,G,,
Viridian Shaman,G,,
Wall of Wood,G,Defender,
Wall of Wood,G,Defender,
Yavimaya Enchantress,G,,
Angel's Feather,,,
Bottle Gnomes,,,
Chimeric Staff,,,
Chromatic Star,,,
Citanul Flute,,,
Coat of Arms,,,
Coat of Arms,,,
Colossus of Sardia,,Trample,
Colossus of Sardia,,Trample,
Composite Golem,"B, G, R, U, W",,
Crucible of Worlds,,,
Demon's Horn,,,
Doubling Cube,,,
Dragon's Claw,,,
Fountain of Youth,,,
The Hive,,,
The Hive,,,
Howling Mine,,,
Icy Manipulator,,,
Jayemdae Tome,,,
Juggernaut,,,
Kraken's Eye,,,
Legacy Weapon,"B, G, R, U, W",,Legendary
Leonin Scimitar,,Equip,
Leonin Scimitar,,Equip,
Loxodon Warhammer,,Equip,
Loxodon Warhammer,,Equip,
Mantis Engine,,,
Mantis Engine,,,
Millstone,,Mill,
Mind Stone,,,
Ornithopter,,Flying,
Ornithopter,,Flying,
Phyrexian Vault,,,
Pithing Needle,,,
Platinum Angel,,Flying,
Platinum Angel,,Flying,
Razormane Masticore,,First strike,
Razormane Masticore,,First strike,
Rod of Ruin,,,
Sculpting Steel,,,
Spellbook,,,
Steel Golem,,,
Whispersilk Cloak,,Equip,
Whispersilk Cloak,,Equip,
Wurm's Tooth,,,
Adarkar Wastes,"U, W",,
Battlefield Forge,"R, W",,
Brushland,"G, W",,
Caves of Koilos,"B, W",,
Faerie Conclave,U,,
Faerie Conclave,U,,
Forbidding Watchtower,W,,
Ghitu Encampment,R,,
Ghitu Encampment,R,,
Karplusan Forest,"G, R",,
Llanowar Wastes,"B, G",,
Quicksand,,,
Shivan Reef,"R, U",,
Spawning Pool,B,,
Spawning Pool,B,,
Sulfurous Springs,"B, R",,
Terramorphic Expanse,,,
Treetop Village,G,,
Treetop Village,G,,
Underground River,"B, U",,
Yavimaya Coast,"G, U",,
Plains,W,,Basic
Plains,W,,Basic
Plains,W,,Basic
Plains,W,,Basic
Island,U,,Basic
Island,U,,Basic
Island,U,,Basic
Island,U,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Forest,G,,Basic
Forest,G,,Basic
Forest,G,,Basic
Forest,G,,Basic
Animate Wall,W,Enchant,
Armageddon,W,,
Balance,W,,
Benalish Hero,W,Banding,
Black Ward,W,Enchant,
Blaze of Glory,W,,
Blessing,W,Enchant,
Blue Ward,W,Enchant,
Castle,W,,
Circle of Protection: Black,W,,
Circle of Protection: Blue,W,,
Circle of Protection: Green,W,,
Circle of Protection: Red,W,,
Circle of Protection: White,W,,
Consecrate Land,W,Enchant,
Conversion,W,,
Crusade,W,,
Death Ward,W,,
Disenchant,W,,
Farmstead,W,Enchant,
Green Ward,W,Enchant,
Guardian Angel,W,,
Healing Salve,W,,
Holy Armor,W,Enchant,
Holy Strength,W,Enchant,
Island Sanctuary,W,,
Karma,W,,
Lance,W,Enchant,
Mesa Pegasus,W,"Banding, Flying",
Northern Paladin,W,,
Pearled Unicorn,W,,
Personal Incarnation,W,,
Purelace,W,,
Red Ward,W,Enchant,
Resurrection,W,,
Reverse Damage,W,,
Righteousness,W,,
Samite Healer,W,,
Savannah Lions,W,,
Serra Angel,W,"Flying, Vigilance",
Swords to Plowshares,W,,
Veteran Bodyguard,W,,
Wall of Swords,W,"Defender, Flying",
White Knight,W,"First strike, Protection",
White Ward,W,Enchant,
Wrath of God,W,,
Air Elemental,U,Flying,
Ancestral Recall,U,,
Animate Artifact,U,Enchant,
Blue Elemental Blast,U,,
Braingeyser,U,,
Clone,U,,
Control Magic,U,Enchant,
Copy Artifact,U,,
Counterspell,U,,
Creature Bond,U,Enchant,
Drain Power,U,,
Feedback,U,Enchant,
Flight,U,Enchant,
Invisibility,U,Enchant,
Jump,U,,
Lifetap,U,,
Lord of Atlantis,U,,
Magical Hack,U,,
Mahamoti Djinn,U,Flying,
Mana Short,U,,
Merfolk of the Pearl Trident,U,,
Phantasmal Forces,U,Flying,
Phantasmal Terrain,U,Enchant,
Phantom Monster,U,Flying,
Pirate Ship,U,,
Power Leak,U,Enchant,
Power Sink,U,,
Prodigal Sorcerer,U,,
Psionic Blast,U,,
Psychic Venom,U,Enchant,
Sea Serpent,U,,
Siren's Call,U,,
Sleight of Mind,U,,
Spell Blast,U,,
Stasis,U,,
Steal Artifact,U,Enchant,
Thoughtlace,U,,
Time Walk,U,,
Timetwister,U,,
Twiddle,U,,
Unsummon,U,,
Vesuvan Doppelganger,U,,
Volcanic Eruption,U,,
Wall of Air,U,"Defender, Flying",
Wall of Water,U,Defender,
Water Elemental,U,,
Animate Dead,B,Enchant,
Bad Moon,B,,
Black Knight,B,"First strike, Protection",
Bog Wraith,B,Swampwalk,
Contract from Below,B,,
Cursed Land,B,Enchant,
Dark Ritual,B,,
Darkpact,B,,
Deathgrip,B,,
Deathlace,B,,
Demonic Attorney,B,,
Demonic Hordes,B,,
Demonic Tutor,B,,
Drain Life,B,,
Drudge Skeletons,B,,
Evil Presence,B,Enchant,
Fear,B,Enchant,
Frozen Shade,B,,
Gloom,B,,
Howl from Beyond,B,,
Hypnotic Specter,B,Flying,
Lich,B,,
Lord of the Pit,B,"Flying, Trample",
Mind Twist,B,,
Nether Shadow,B,Haste,
Nettling Imp,B,,
Nightmare,B,Flying,
Paralyze,B,Enchant,
Pestilence,B,,
Plague Rats,B,,
Raise Dead,B,,
Royal Assassin,B,,
Sacrifice,B,,
Scathe Zombies,B,,
Scavenging Ghoul,B,,
Sengir Vampire,B,Flying,
Simulacrum,B,,
Sinkhole,B,,
Terror,B,,
Unholy Strength,B,Enchant,
Wall of Bone,B,Defender,
Warp Artifact,B,Enchant,
Weakness,B,Enchant,
Will-o'-the-Wisp,B,Flying,
Word of Command,B,,
Zombie Master,B,,
Burrowing,R,Enchant,
Chaoslace,R,,
Disintegrate,R,,
Dragon Whelp,R,Flying,
Dwarven Demolition Team,R,,
Dwarven Warriors,R,,
Earth Elemental,R,,
Earthbind,R,Enchant,
Earthquake,R,,
False Orders,R,,
Fire Elemental,R,,
Fireball,R,,
Firebreathing,R,Enchant,
Flashfires,R,,
Fork,R,,
Goblin Balloon Brigade,R,,
Goblin King,R,,
Granite Gargoyle,R,Flying,
Gray Ogre,R,,
Hill Giant,R,,
Hurloon Minotaur,R,,
Ironclaw Orcs,R,,
Keldon Warlord,R,,
Lightning Bolt,R,,
Mana Flare,R,,
Manabarbs,R,,
Mons's Goblin Raiders,R,,
Orcish Artillery,R,,
Orcish Oriflamme,R,,
Power Surge,R,,
Raging River,R,,
Red Elemental Blast,R,,
Roc of Kher Ridges,R,Flying,
Rock Hydra,R,,
Sedge Troll,"B, R",,
Shatter,R,,
Shivan Dragon,R,Flying,
Smoke,R,,
Stone Giant,R,,
Stone Rain,R,,
Tunnel,R,,
Two-Headed Giant of Foriys,R,Trample,
Uthden Troll,R,,
Wall of Fire,R,Defender,
Wall of Stone,R,Defender,
Wheel of Fortune,R,,
Aspect of Wolf,G,Enchant,
Berserk,G,,
Birds of Paradise,G,Flying,
Camouflage,G,,
Channel,G,,
Cockatrice,G,Flying,
Craw Wurm,G,,
Elvish Archers,G,First strike,
Fastbond,G,,
Fog,G,,
Force of Nature,G,Trample,
Fungusaur,G,,
Gaea's Liege,G,,
Giant Growth,G,,
Giant Spider,G,Reach,
Grizzly Bears,G,,
Hurricane,G,,
Ice Storm,G,,
Instill Energy,G,Enchant,
Ironroot Treefolk,G,,
Kudzu,G,Enchant,
Ley Druid,G,,
Lifeforce,G,,
Lifelace,G,,
Living Artifact,G,Enchant,
Living Lands,G,,
Llanowar Elves,G,,
Lure,G,Enchant,
Natural Selection,G,,
Regeneration,G,Enchant,
Regrowth,G,,
Scryb Sprites,G,Flying,
Shanodin Dryads,G,Forestwalk,
Stream of Life,G,,
Thicket Basilisk,G,,
Timber Wolves,G,Banding,
Tranquility,G,,
Tsunami,G,,
Verduran Enchantress,G,,
Wall of Brambles,G,Defender,
Wall of Ice,G,Defender,
Wall of Wood,G,Defender,
Wanderlust,G,Enchant,
War Mammoth,G,Trample,
Web,G,Enchant,
Wild Growth,G,Enchant,
Ankh of Mishra,,,
Basalt Monolith,,,
Black Lotus,,,
Black Vise,,,
Celestial Prism,,,
Chaos Orb,,,
Clockwork Beast,,,
Conservator,,,
Copper Tablet,,,
Crystal Rod,,,
Cyclopean Tomb,,,
Dingus Egg,,,
Disrupting Scepter,,,
Forcefield,,,
Gauntlet of Might,R,,
Glasses of Urza,,,
Helm of Chatzuk,,,
Howling Mine,,,
Icy Manipulator,,,
Illusionary Mask,,,
Iron Star,,,
Ivory Cup,,,
Jade Monolith,,,
Jade Statue,,,
Jayemdae Tome,,,
Juggernaut,,,
Kormus Bell,,,
Library of Leng,,,
Living Wall,,Defender,
Mana Vault,,,
Meekstone,,,
Mox Emerald,G,,
Mox Jet,B,,
Mox Pearl,W,,
Mox Ruby,R,,
Mox Sapphire,U,,
Nevinyrral's Disk,,,
Obsianus Golem,,,
Rod of Ruin,,,
Sol Ring,,,
Soul Net,,,
Sunglasses of Urza,,,
The Hive,,,
Throne of Bone,,,
Time Vault,,,
Winter Orb,,,
Wooden Sphere,,,
Badlands,"B, R",,
Bayou,"B, G",,
Plateau,"R, W",,
Savannah,"G, W",,
Scrubland,"B, W",,
Taiga,"G, R",,
Tropical Island,"G, U",,
Tundra,"U, W",,
Underground Sea,"B, U",,
Volcanic Island,"R, U",,
Plains,W,,Basic
Plains,W,,Basic
Plains,W,,Basic
Island,U,,Basic
Island,U,,Basic
Island,U,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Swamp,B,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Mountain,R,,Basic
Forest,G,,Basic
Forest,G,,Basic
Forest,G,,Basic
"Emrakul, the Aeons Torn",,"Annihilator, Flying, Protection",Legendary
"Kozilek, Butcher of Truth",,Annihilator,Legendary
"Ulamog, the Infinite Gyre",,"Annihilator, Indestructible",Legendary
Abzan Falconer,W,Outlast,
Ainok Bond-Kin,W,Outlast,
Anointer of Valor,W,Flying,
Battlefield Promotion,W,,
Divine Visitation,W,,
Doomed Traveler,W,,
Emiel the Blessed,"G, W",,Legendary
Flickerwisp,W,Flying,
Gods Willing,W,Scry,
Hyena Umbra,W,"Enchant, Umbra armor",
Knightly Valor,W,Enchant,
Last Breath,W,,
Leonin Arbiter,W,,
Mentor of the Meek,W,,
"Mikaeus, the Lunarch",W,,Legendary
Militia Bugler,W,Vigilance,
Momentary Blink,"U, W",Flashback,
Monastery Mentor,W,Prowess,
Myth Realized,W,,
Path to Exile,W,,
Relief Captain,W,Support,
Restoration Angel,W,"Flash, Flying",
Reveillark,W,"Evoke, Flying",
Scale Blessing,W,Bolster,
Seeker of the Way,W,Prowess,
Sensor Splicer,W,,
Settle Beyond Reality,W,,
Smothering Tithe,W,Treasure,
Teferi's Protection,W,,
Wall of Omens,W,Defender,
Weathered Wayfarer,W,,
Wingsteed Rider,W,"Flying, Heroic",
Advanced Stitchwing,U,Flying,
Aethersnipe,U,Evoke,
As Foretold,U,,
Aven Initiate,U,"Embalm, Flying",
Body Double,U,,
Breakthrough,U,,
Capture Sphere,U,"Enchant, Flash",
Consecrated Sphinx,U,Flying,
Deep Analysis,U,Flashback,
Deranged Assistant,U,Mill,
Disciple of the Ring,U,,
Domestication,U,Enchant,
Eel Umbra,U,"Enchant, Flash, Umbra armor",
Forbidden Alchemy,"B, U",Flashback,
Force of Negation,U,,
Gifts Ungiven,U,,
Ingenious Skaab,U,Prowess,
Jeskai Elder,U,Prowess,
Kasmina's Transmutation,U,Enchant,
Kederekt Leviathan,U,Unearth,
Makeshift Mauler,U,,
Mana Drain,U,,
Mana Leak,U,,
Mistfire Adept,U,Prowess,
Mulldrifter,U,"Evoke, Flying",
Nephalia Smuggler,U,,
Pull from Tomorrow,U,,
Spell Pierce,U,,
"Talrand, Sky Summoner",U,,Legendary
Thought Scour,U,Mill,
"Venser, Shaper Savant",U,Flash,Legendary
Wash Out,U,,
Balustrade Spy,B,Flying,
Bitterblossom,B,,
Blood Artist,B,,
Bloodflow Connoisseur,B,,
Carrier Thrall,B,,
Damnation,B,,
Disfigure,B,,
Eyeblight's Ending,B,,
Go for the Throat,B,,
Graveblade Marauder,B,Deathtouch,
Gravecrawler,B,,
Imperial Seal,B,,
Inquisition of Kozilek,B,,
"Liliana, the Last Hope",B,Mill,Legendary
Liliana's Elite,B,,
Necrotic Ooze,B,,
"Ob Nixilis, Unshackled",B,"Flying, Trample",Legendary
Oona's Prowler,B,Flying,
Scion of Darkness,B,"Cycling, Trample",
Seekers' Squire,B,Explore,
Severed Strands,B,,
Shadowborn Apostle,B,,
Skeleton Archer,B,,
Skinrender,B,,
Strands of Undeath,B,Enchant,
Supernatural Stamina,B,,
Surgical Extraction,B,,
Unburial Rites,"B, W",Flashback,
Unearth,B,Cycling,
Vampire Sovereign,B,Flying,
Vampiric Rites,B,,
"Yahenni, Undying Partisan",B,Haste,Legendary
Abbot of Keral Keep,R,Prowess,
"Alesha, Who Smiles at Death","B, R, W",First strike,Legendary
Anger of the Gods,R,,
Backdraft Hellkite,R,Flying,
Bedlam Reveler,R,Prowess,
Chaos Warp,R,,
Dark-Dweller Oracle,R,,
Dockside Extortionist,R,Treasure,
Dreamshaper Shaman,R,,
Fiery Fall,R,"Basic landcycling, Cycling, Landcycling",
Goblin Banneret,R,Mentor,
Greater Gargadon,R,Suspend,
Hero of the Games,R,,
Hissing Iguanar,R,,
Kruin Striker,R,,
Labyrinth Champion,R,Heroic,
Lava Coil,R,,
Lightning Bolt,R,,
Living Lightning,R,,
Monastery Swiftspear,R,"Haste, Prowess",
Pirate's Pillage,R,Treasure,
Purphoros's Emissary,R,"Bestow, Menace",
Rift Bolt,R,Suspend,
Seasoned Pyromancer,R,,
Sparkmage's Gambit,R,,
Staggershock,R,Rebound,
Storm Fleet Pyromancer,R,Raid,
Surreal Memoir,R,Rebound,
Titan's Strength,R,Scry,
Twinflame,R,Strive,
Warrior's Oath,R,,
Young Pyromancer,R,,
Allosaurus Shepherd,G,,
Ambuscade,G,,
Annoyed Altisaur,G,"Cascade, Reach, Trample",
Arachnus Spinner,G,Reach,
Arachnus Web,G,Enchant,
Biogenic Upgrade,G,,
Bloom Tender,G,,
Brindle Shoat,G,,
Centaur Battlemaster,G,Heroic,
Concordant Crossroads,G,,World
Deadly Recluse,G,"Deathtouch, Reach",
Devoted Druid,G,,
Elvish Rejuvenator,G,,
Eternal Witness,G,,
Experiment One,G,Evolve,
Food Chain,G,,
Gnarlback Rhino,G,Trample,
Grapple with the Past,G,Mill,
Green Sun's Zenith,G,,
Hardened Scales,G,,
Impervious Greatwurm,G,"Convoke, Indestructible",
Might of Old Krosa,G,,
Oracle of Mul Daya,G,,
Rampant Growth,G,,
Rancor,G,Enchant,
"Rishkar, Peema Renegade",G,,Legendary
Spider Spawning,"B, G",Flashback,
Splinterfright,G,"Mill, Trample",
Summer Bloom,G,,
Thrive,G,,
Travel Preparations,"G, W",Flashback,
Tuskguard Captain,G,Outlast,
Webweaver Changeling,G,"Changeling, Reach",
Abzan Ascendancy,"B, G, W",,
Abzan Charm,"B, G, W",,
Aethermage's Touch,"U, W",,
Agony Warp,"B, U",,
"Aminatou, the Fateshifter","B, U, W",,Legendary
Anguished Unmaking,"B, W",,
"Animar, Soul of Elements","G, R, U",Protection,Legendary
"Arjun, the Shifting Flame","R, U",Flying,Legendary
Ashen Rider,"B, W",Flying,
Ashenmoor Liege,"B, R",,
Assassin's Trophy,"B, G",,
Atarka's Command,"G, R",,
"Atla Palani, Nest Tender","G, R, W",,Legendary
Auger Spree,"B, R",,
